data,Dis,V1,V2,V3,V4,V5
9/3/2012,0.092,0.055,79.2,15.122,56.762,105.897
9/17/2012,0.049,0.06,67.4,11.394,80.051,44.04
10/1/2012,0.1,0.044,27,15.246,77.218,129.414
10/15/2012,0.737,0.17,34.8,12.043,83.577,23.134
10/29/2012,2.717,0.962,125.2,8.954,85.055,59.1
11/12/2012,3.577,2.035,171.6,9.733,77.984,135.16
11/26/2012,7.929,1.602,93.4,8.438,94.277,29.978
12/10/2012,6.396,5.975,152.2,-2.814,87.575,50.019
12/24/2012,2.157,6.7,123.4,2.893,88.128,13.376
1/7/2013,5.683,1.483,37.4,10.115,87.149,37.779
1/21/2013,5.395,9.799,223.4,0.55,94.568,19.741
2/4/2013,3.025,3.636,115.6,2.974,88.157,74.666
2/18/2013,2.006,2.865,64.2,-0.285,86.471,106.122
3/4/2013,6.679,2.124,66.4,1.919,88.146,89.108
3/18/2013,8.171,4.715,194,-1.229,86.789,46.318
4/1/2013,4.553,6.33,184.2,6.803,84.139,50.448
4/15/2013,2.075,4.326,87.4,10.603,77.375,20.778
4/29/2013,2.335,2.098,48.2,12.465,73.827,9.862
5/13/2013,2.519,2.274,93.4,12.767,84.354,81.721
5/27/2013,1.503,2.331,150,5.971,72.324,24.767
6/10/2013,0.543,1.189,30.6,15.782,70.976,13.015
6/24/2013,0.359,0.424,6.2,17.899,64.964,65.67
7/8/2013,0.157,0.343,52,18.994,70.265,16.871
7/22/2013,0.116,0.131,19.8,19.86,71.488,0.816
8/5/2013,0.028,0.168,26.2,25.349,59.107,7.308
8/19/2013,0.13,0.031,2.4,20.793,60.449,28.21
9/2/2013,0.048,0.021,53,17.172,73.423,3.179
9/16/2013,0.074,0.063,28.2,14.569,73.839,16.666
9/30/2013,0.658,0.089,23.8,15.661,74.878,68.929
10/14/2013,1.224,0.936,109,9.997,90.747,8.722
10/28/2013,1.591,2.067,96.8,14.443,89.44,55.294
11/11/2013,10.463,2.849,114.8,10.463,80.412,85.646
11/25/2013,2.912,7.049,268.4,2.107,94.601,28.379
12/9/2013,1.076,2.191,42.6,5.463,87.28,0.75
12/23/2013,6.474,0.826,4.6,7.015,88.798,25.855
1/6/2014,5.753,6.333,141.8,6.681,89.408,32
1/20/2014,6.905,8.116,165,6.85,89.774,39.63
2/3/2014,6.484,8.788,222.6,4.711,93.445,61.62
2/17/2014,4.069,7.538,204.4,7.611,84.451,58.342
3/3/2014,3.703,3.999,127,2.164,84.916,36.94
3/17/2014,3.372,2.257,77,10.954,79.388,31.955
3/31/2014,2.777,4.466,130.4,8.535,75.762,9.394
4/14/2014,1.337,2.51,50.8,10.628,78.413,37.218
4/28/2014,3.34,1.072,29.8,12.268,77.89,97.141
5/12/2014,0.815,2.261,93,15.293,79.259,38.23
5/26/2014,0.399,0.614,3.2,14.558,63.821,28.133
6/9/2014,0.289,0.317,22.4,19.844,67.44,39.155
6/23/2014,0.203,0.253,68,18.042,73.595,23.423
7/7/2014,0.2,0.177,32.8,19.299,70.283,24.07
7/21/2014,0.26,0.17,39,23.144,72.616,51.683
8/4/2014,0.089,0.332,76.4,19.94,80.607,11.349
8/18/2014,0.032,0.057,22,14.633,72.232,6.721
9/1/2014,0.409,0.036,7.6,19.074,71.47,35.821
9/15/2014,0.42,0.39,103.4,13.126,88.878,32.671
9/29/2014,0.243,0.16,19.4,14.158,82.926,14.196
10/13/2014,0.367,0.141,27,16.925,85.655,49.385
10/27/2014,2.374,0.232,33,7.521,80.11,17.154
