data,Dis,V1,V2,V3,V4,V5
11/15/2008,8.14805,10.756,241.8,9.781,85.658,60.27
11/29/2008,7.3968,8.294,211.2,-0.251,89.538,63.567
12/13/2008,5.58332,5.506,137.8,2.482,78.611,45.495
12/27/2008,2.33411,9.895,163.8,3.015,91.406,18.59
1/10/2009,1.4652,2.104,18.4,6.764,89.066,44.189
1/24/2009,1.92072,1.303,17.4,-4.671,92.111,14.998
2/7/2009,5.077,2.132,72.4,9.346,87.927,19.603
2/21/2009,2.10588,5.697,114.4,3.776,79.873,39.772
3/7/2009,8.45244,2.212,31.8,1.107,88.218,55.582
3/21/2009,2.60183,12.573,177.6,5.113,77.97,30.183
4/4/2009,1.56045,2.534,33,14.582,67.321,63.532
4/18/2009,0.77212,1.289,25,4.056,63.807,6.09
5/2/2009,0.65366,0.774,21,8.783,78.597,74.881
5/16/2009,0.639,0.625,47.8,13.847,70.135,31.536
5/30/2009,0.56389,0.337,10,15.449,67.672,46.134
6/13/2009,0.20884,0.666,61.2,14.643,78.409,65.389
6/27/2009,0.10864,0.164,2.2,18.425,65.362,12.572
7/11/2009,0.06984,0.118,26.2,22.872,69.28,1.197
7/25/2009,0.092,0.114,31.2,15.196,58.641,11.532
8/8/2009,0.0109,0.047,35.2,21.594,71.015,2.229
8/22/2009,0.01598,0.013,4.2,25.806,59.42,41.902
9/5/2009,0.02121,0.03,5.8,22.104,52.824,30.789
9/19/2009,0.16952,0.025,15.6,20.718,61.313,88.937
10/3/2009,0.02415,0.014,84.4,16.44,76.042,24.105
10/17/2009,0.53142,0.021,6.2,5.249,70.643,99.052
10/31/2009,0.15288,0.94,105.4,7.285,85.007,21.556
11/14/2009,0.03534,0.284,25.6,4.502,87.869,6.08
11/28/2009,0.97608,0.038,8.4,7.21,86.987,13.148
12/12/2009,1.98504,1.888,48.4,7.314,83.998,9.772
12/26/2009,1.23046,0.714,84.6,2.413,80.668,19.095
1/9/2010,0.489,2.072,63.8,3.939,81.751,1.821
1/23/2010,0.26772,0.355,0.8,5.513,75.135,10.854
2/6/2010,0.78982,0.296,3.6,-9.393,89.1,51.276
2/20/2010,6.04368,1.252,117.2,2.904,83.789,17.736
3/6/2010,2.4057,6.223,68.3,10.844,73.387,17.751
3/20/2010,0.92736,1.413,24.4,10.337,72.53,30.064
4/3/2010,5.96418,0.802,6.8,11.548,60.374,20.822
4/17/2010,6.89733,10.334,178,5.194,81.629,53.412
5/1/2010,1.6866,4,117.4,16.084,71.506,23.768
5/15/2010,1.9482,2.241,81.8,16.262,73.996,38.121
